entidad,distrito,ganador_coalicion,mejor_partido_shh,posicion_shh,votos_morena,votos_pt,votos_pvem,votos_shh_total,votos_fcm_total,votos_mc_total
AGUASCALIENTES,1,FCM,MORENA,2,72219.0,8567.0,9803.0,90589.0,109134.0,15288.0
GUANAJUATO,1,FCM,MORENA,2,50026.0,6328.0,10346.0,66700.0,83916.0,11592.0
NUEVO LEÓN,1,FCM,MORENA,3,39824.0,4988.0,6837.0,51649.0,105767.0,53826.0
AGUASCALIENTES,2,FCM,MORENA,2,65278.0,5057.0,7281.0,77616.0,90063.0,20862.0
JALISCO,2,MC,MORENA,3,41015.0,4188.0,7734.0,52937.0,60474.0,61009.0
NUEVO LEÓN,2,FCM,MORENA,1,53978.0,6392.0,7839.0,68209.0,79337.0,37457.0
AGUASCALIENTES,3,FCM,MORENA,2,63667.0,4867.0,7949.0,76483.0,138449.0,16793.0
COAHUILA,3,FCM,MORENA,2,76073.0,9283.0,12480.0,97836.0,106163.0,7704.0
GUANAJUATO,3,FCM,MORENA,2,51002.0,3770.0,8548.0,63320.0,135004.0,14661.0
JALISCO,3,FCM,MORENA,3,39999.0,3695.0,9392.0,53086.0,86059.0,50363.0
QUERÉTARO,3,FCM,MORENA,2,78523.0,4765.0,9404.0,92692.0,98955.0,15436.0
COAHUILA,4,FCM,MORENA,2,71750.0,5617.0,8109.0,85476.0,112562.0,13177.0
DURANGO,4,FCM,MORENA,1,60153.0,15340.0,8258.0,83751.0,90841.0,23755.0
GUANAJUATO,4,FCM,MORENA,2,49315.0,5968.0,16283.0,71566.0,80006.0,10663.0
NUEVO LEÓN,4,FCM,MORENA,3,52916.0,6456.0,8075.0,67447.0,101399.0,62163.0
QUERÉTARO,4,FCM,MORENA,2,63647.0,4105.0,10285.0,78037.0,137511.0,12796.0
VERACRUZ,4,FCM,MORENA,2,71868.0,5560.0,8368.0,85796.0,93886.0,13896.0
YUCATÁN,4,FCM,MORENA,2,58550.0,4313.0,6616.0,69479.0,118186.0,13386.0
CHIHUAHUA,5,FCM,MORENA,2,58805.0,6338.0,8082.0,73225.0,98979.0,16722.0
COAHUILA,5,FCM,MORENA,2,69438.0,5859.0,12172.0,87469.0,96677.0,5763.0
GUANAJUATO,5,FCM,MORENA,2,52898.0,3491.0,8160.0,64549.0,92973.0,12741.0
QUERÉTARO,5,FCM,MORENA,2,57506.0,5199.0,12644.0,75349.0,79033.0,9016.0
SAN LUIS POTOSÍ,5,FCM,PVEM,2,39474.0,5186.0,45519.0,90179.0,102448.0,18644.0
CHIHUAHUA,6,FCM,MORENA,2,63063.0,5163.0,7733.0,75959.0,132026.0,15029.0
GUANAJUATO,6,FCM,MORENA,2,52267.0,3626.0,7852.0,63745.0,93696.0,12201.0
NUEVO LEÓN,6,FCM,MORENA,4,36040.0,6579.0,6672.0,49291.0,113032.0,49864.0
GUANAJUATO,7,FCM,MORENA,2,39023.0,3872.0,8461.0,51356.0,91948.0,8116.0
CHIHUAHUA,8,FCM,MORENA,2,73431.0,8984.0,11246.0,93661.0,99505.0,13965.0
JALISCO,8,FCM,MORENA,3,62051.0,6333.0,9818.0,78202.0,102816.0,80366.0
TAMAULIPAS,8,FCM,MORENA,2,107827.0,6815.0,8679.0,123321.0,125627.0,11335.0
CHIHUAHUA,9,FCM,MORENA,1,55691.0,6818.0,9552.0,72061.0,73600.0,21937.0
GUANAJUATO,9,FCM,MORENA,2,60853.0,4120.0,7235.0,72208.0,76025.0,15018.0
NUEVO LEÓN,9,FCM,MORENA,2,43637.0,5748.0,7464.0,56849.0,80186.0,43605.0
CIUDAD DE MÉXICO,10,FCM,MORENA,2,74188.0,8731.0,11269.0,94188.0,124482.0,18111.0
JALISCO,10,FCM,MORENA,3,44706.0,4538.0,7843.0,57087.0,101028.0,76567.0
MICHOACÁN,10,FCM,MORENA,2,57549.0,8064.0,12122.0,77735.0,100730.0,17777.0
NUEVO LEÓN,10,FCM,MORENA,4,33953.0,4339.0,6173.0,44465.0,101241.0,53200.0
GUANAJUATO,11,FCM,MORENA,2,59528.0,4251.0,9329.0,73108.0,104495.0,15134.0
NUEVO LEÓN,11,FCM,MORENA,1,62045.0,7816.0,9973.0,79834.0,80428.0,56871.0
CIUDAD DE MÉXICO,12,FCM,MORENA,1,90521.0,10803.0,13244.0,114568.0,116020.0,23148.0
CIUDAD DE MÉXICO,15,FCM,MORENA,2,60698.0,6908.0,8398.0,76004.0,193943.0,20012.0
JALISCO,15,FCM,MORENA,3,37581.0,4263.0,15473.0,57317.0,81089.0,44907.0
CIUDAD DE MÉXICO,19,FCM,MORENA,2,81136.0,9238.0,12835.0,103209.0,119601.0,19891.0
MÉXICO,22,FCM,MORENA,2,75644.0,7130.0,11850.0,94624.0,129564.0,18165.0
