coalicion,partido,votos,votos_pct,mr,rp,total,escanos_pct
CON,PAN,10049424,17.58,25,36,61,15.25
CON,PRI,6623752,11.59,4,24,28,7
CON,PRD,1449655,2.54,0,0,0,0
CON,PVEM,4993902,8.74,4,18,22,5.5
CON,PT,3254709,5.69,0,12,12,3
CON,MC,6497404,11.37,6,23,29,7.25
CON,MORENA,24286412,42.49,161,87,248,62
CON,PES,0,0,0,0,0,0
CON,RSP,0,0,0,0,0,0
CON,FXM,0,0,0,0,0,0
SIN,PAN,10049424,17.58,22,36,58,14.5
SIN,PRI,6623752,11.59,4,24,28,7
SIN,PRD,1449655,2.54,0,0,0,0
SIN,PVEM,4133007,7.23,4,15,19,4.75
SIN,PT,2467796,4.32,0,9,9,2.25
SIN,MC,6497404,11.37,7,23,30,7.5
SIN,MORENA,25934219,45.38,163,93,256,64
SIN,PES,0,0,0,0,0,0
SIN,RSP,0,0,0,0,0,0
SIN,FXM,0,0,0,0,0,0
