anio,total_escanos,configuracion,pct_mr,pct_rp,mr_seats,rp_seats,usar_coaliciones,morena_votos_pct,morena_mr,morena_rp,morena_total,morena_pct_escanos,coalicion_total,coalicion_pct_escanos,mayoria_simple_morena,mayoria_calificada_morena,mayoria_simple_coalicion,mayoria_calificada_coalicion,topes_aplicados
2018,400,50MR_50RP,50,50,200,200,CON,43.14,156,48,204,51,225,56.25,True,False,True,False,SI
2018,400,50MR_50RP,50,50,200,200,SIN,33.71,156,10,166,41.5,207,51.75,False,False,True,False,SI
2018,400,60MR_40RP,60,40,240,160,CON,43.14,187,17,204,51,226,56.5,True,False,True,False,SI
2018,400,60MR_40RP,60,40,240,160,SIN,33.71,166,0,166,41.5,206,51.5,False,False,True,False,SI
2018,400,75MR_25RP,75,25,300,100,CON,43.14,163,42,205,51.25,287,71.75,True,False,True,True,SI
2018,400,75MR_25RP,75,25,300,100,SIN,33.71,166,0,166,41.5,205,51.25,False,False,True,False,SI
2018,500,50MR_50RP,50,50,250,250,CON,43.14,195,60,255,51,281,56.2,True,False,True,False,SI
2018,500,50MR_50RP,50,50,250,250,SIN,33.71,196,12,208,41.6,261,52.2,False,False,True,False,SI
2018,500,60MR_40RP,60,40,300,200,CON,43.14,163,93,256,51.2,358,71.6,True,False,True,True,SI
2018,500,60MR_40RP,60,40,300,200,SIN,33.71,208,0,208,41.6,260,52,False,False,True,False,SI
2018,500,75MR_25RP,75,25,375,125,CON,43.14,255,0,255,51,294,58.8,True,False,True,False,SI
2018,500,75MR_25RP,75,25,375,125,SIN,33.71,208,0,208,41.6,256,51.2,False,False,True,False,SI
2018,600,50MR_50RP,50,50,300,300,CON,43.14,163,136,299,49.83,422,70.33,False,False,True,True,SI
2018,600,50MR_50RP,50,50,300,300,SIN,33.71,234,16,250,41.67,314,52.33,False,False,True,False,SI
2018,600,60MR_40RP,60,40,360,240,CON,43.14,291,15,306,51,342,57,True,False,True,False,SI
2018,600,60MR_40RP,60,40,360,240,SIN,33.71,250,0,250,41.67,312,52,False,False,True,False,SI
2018,600,75MR_25RP,75,25,450,150,CON,43.14,306,0,306,51,362,60.33,True,False,True,False,SI
2018,600,75MR_25RP,75,25,450,150,SIN,33.71,250,0,250,41.67,307,51.17,False,False,True,False,SI
2021,400,50MR_50RP,50,50,200,200,CON,35.36,131,42,173,43.25,198,49.5,False,False,False,False,SI
2021,400,50MR_50RP,50,50,200,200,SIN,35.95,134,41,175,43.75,202,50.5,False,False,True,False,SI
2021,400,60MR_40RP,60,40,240,160,CON,35.36,156,17,173,43.25,198,49.5,False,False,False,False,SI
2021,400,60MR_40RP,60,40,240,160,SIN,35.95,162,13,175,43.75,201,50.25,False,False,True,False,SI
2021,400,75MR_25RP,75,25,300,100,CON,35.36,135,38,173,43.25,238,59.5,False,False,True,False,SI
2021,400,75MR_25RP,75,25,300,100,SIN,35.95,175,0,175,43.75,200,50,False,False,False,False,SI
2021,500,50MR_50RP,50,50,250,250,CON,35.36,163,53,216,43.2,249,49.8,False,False,False,False,SI
2021,500,50MR_50RP,50,50,250,250,SIN,35.95,169,50,219,43.8,253,50.6,False,False,True,False,SI
2021,500,60MR_40RP,60,40,300,200,CON,35.36,135,76,211,42.2,285,57,False,False,True,False,SI
2021,500,60MR_40RP,60,40,300,200,SIN,35.95,202,17,219,43.8,253,50.6,False,False,True,False,SI
2021,500,75MR_25RP,75,25,375,125,CON,35.36,216,0,216,43.2,245,49,False,False,False,False,SI
2021,500,75MR_25RP,75,25,375,125,SIN,35.95,219,0,219,43.8,248,49.6,False,False,False,False,SI
2021,600,50MR_50RP,50,50,300,300,CON,35.36,135,114,249,41.5,333,55.5,False,False,True,False,SI
2021,600,50MR_50RP,50,50,300,300,SIN,35.95,202,61,263,43.83,306,51,False,False,True,False,SI
2021,600,60MR_40RP,60,40,360,240,CON,35.36,249,11,260,43.33,297,49.5,False,False,False,False,SI
2021,600,60MR_40RP,60,40,360,240,SIN,35.95,242,21,263,43.83,303,50.5,False,False,True,False,SI
2021,600,75MR_25RP,75,25,450,150,CON,35.36,260,0,260,43.33,296,49.33,False,False,False,False,SI
2021,600,75MR_25RP,75,25,450,150,SIN,35.95,263,0,263,43.83,300,50,False,False,False,False,SI
2024,400,50MR_50RP,50,50,200,200,CON,42.49,161,40,201,50.25,258,64.5,True,False,True,False,SI
2024,400,50MR_50RP,50,50,200,200,SIN,45.38,163,50,213,53.25,254,63.5,True,False,True,False,SI
2024,400,60MR_40RP,60,40,240,160,CON,42.49,193,8,201,50.25,260,65,True,False,True,False,SI
2024,400,60MR_40RP,60,40,240,160,SIN,45.38,196,17,213,53.25,255,63.75,True,False,True,False,SI
2024,400,75MR_25RP,75,25,300,100,CON,42.49,160,41,201,50.25,311,77.75,True,False,True,True,SI
2024,400,75MR_25RP,75,25,300,100,SIN,45.38,213,0,213,53.25,254,63.5,True,False,True,False,SI
2024,500,50MR_50RP,50,50,250,250,CON,42.49,201,51,252,50.4,324,64.8,True,False,True,False,SI
2024,500,50MR_50RP,50,50,250,250,SIN,45.38,204,62,266,53.2,319,63.8,True,False,True,False,SI
2024,500,60MR_40RP,60,40,300,200,CON,42.49,160,87,247,49.4,373,74.6,False,False,True,True,SI
2024,500,60MR_40RP,60,40,300,200,SIN,45.38,245,21,266,53.2,317,63.4,True,False,True,False,SI
2024,500,75MR_25RP,75,25,375,125,CON,42.49,252,0,252,50.4,322,64.4,True,False,True,False,SI
2024,500,75MR_25RP,75,25,375,125,SIN,45.38,266,0,266,53.2,318,63.6,True,False,True,False,SI
2024,600,50MR_50RP,50,50,300,300,CON,42.49,160,131,291,48.5,431,71.83,False,False,True,True,SI
2024,600,50MR_50RP,50,50,300,300,SIN,45.38,245,75,320,53.33,381,63.5,True,False,True,False,SI
2024,600,60MR_40RP,60,40,360,240,CON,42.49,299,3,302,50.33,386,64.33,True,False,True,False,SI
2024,600,60MR_40RP,60,40,360,240,SIN,45.38,294,26,320,53.33,382,63.67,True,False,True,False,SI
2024,600,75MR_25RP,75,25,450,150,CON,42.49,302,0,302,50.33,387,64.5,True,False,True,False,SI
2024,600,75MR_25RP,75,25,450,150,SIN,45.38,320,0,320,53.33,382,63.67,True,False,True,False,SI
2021_SWING,400,50MR_50RP,50,50,200,200,CON,35.65,129,45,174,43.5,201,50.25,False,False,True,False,SI
2021_SWING,400,50MR_50RP,50,50,200,200,SIN,36.37,134,43,177,44.25,207,51.75,False,False,True,False,SI
2021_SWING,400,60MR_40RP,60,40,240,160,CON,35.65,156,18,174,43.5,201,50.25,False,False,True,False,SI
2021_SWING,400,60MR_40RP,60,40,240,160,SIN,36.37,162,15,177,44.25,207,51.75,False,False,True,False,SI
2021_SWING,400,75MR_25RP,75,25,300,100,CON,35.65,135,38,173,43.25,245,61.25,False,False,True,False,SI
2021_SWING,400,75MR_25RP,75,25,300,100,SIN,36.37,177,0,177,44.25,204,51,False,False,True,False,SI
2021_SWING,500,50MR_50RP,50,50,250,250,CON,35.65,165,53,218,43.6,254,50.8,False,False,True,False,SI
2021_SWING,500,50MR_50RP,50,50,250,250,SIN,36.37,169,52,221,44.2,259,51.8,False,False,True,False,SI
2021_SWING,500,60MR_40RP,60,40,300,200,CON,35.65,135,77,212,42.4,293,58.6,False,False,True,False,SI
2021_SWING,500,60MR_40RP,60,40,300,200,SIN,36.37,202,19,221,44.2,257,51.4,False,False,True,False,SI
2021_SWING,500,75MR_25RP,75,25,375,125,CON,35.65,218,0,218,43.6,253,50.6,False,False,True,False,SI
2021_SWING,500,75MR_25RP,75,25,375,125,SIN,36.37,221,0,221,44.2,255,51,False,False,True,False,SI
2021_SWING,600,50MR_50RP,50,50,300,300,CON,35.65,135,116,251,41.83,343,57.17,False,False,True,False,SI
2021_SWING,600,50MR_50RP,50,50,300,300,SIN,36.37,202,64,266,44.33,312,52,False,False,True,False,SI
2021_SWING,600,60MR_40RP,60,40,360,240,CON,35.65,250,11,261,43.5,307,51.17,False,False,True,False,SI
2021_SWING,600,60MR_40RP,60,40,360,240,SIN,36.37,242,24,266,44.33,308,51.33,False,False,True,False,SI
2021_SWING,600,75MR_25RP,75,25,450,150,CON,35.65,261,0,261,43.5,304,50.67,False,False,True,False,SI
2021_SWING,600,75MR_25RP,75,25,450,150,SIN,36.37,266,0,266,44.33,305,50.83,False,False,True,False,SI
