DIST_CH,partido,votos,n_winners,tie
001,MORENA,2576002.0,1,False
002,MORENA,2581566.0,1,False
003,MORENA,2422456.0,1,False
004,MORENA,2051463.0,1,False
005,MORENA,1807769.0,1,False
006,MORENA,1747595.0,1,False
007,MORENA,1527659.0,1,False
008,MORENA,1269933.0,1,False
009,MORENA,880452.0,1,False
010,MORENA,715560.0,1,False
011,MORENA,758591.0,1,False
012,MORENA,592771.0,1,False
013,MORENA,604480.0,1,False
014,MORENA,543773.0,1,False
015,MORENA,429884.0,1,False
016,MORENA,454173.0,1,False
017,MORENA,328720.0,1,False
018,MORENA,349427.0,1,False
019,MORENA,352235.0,1,False
020,MORENA,270953.0,1,False
021,MORENA,184979.0,1,False
022,MORENA,189398.0,1,False
023,MORENA,94474.0,1,False
024,MORENA,118635.0,1,False
025,MORENA,82185.0,1,False
026,MORENA,92886.0,1,False
027,MORENA,90675.0,1,False
028,MORENA,71827.0,1,False
029,MORENA,109968.0,1,False
030,MORENA,78287.0,1,False
031,MORENA,117249.0,1,False
032,MORENA,80567.0,1,False
033,MORENA,87131.0,1,False
034,MORENA,96951.0,1,False
035,MORENA,76329.0,1,False
036,MORENA,100964.0,1,False
037,MORENA,99924.0,1,False
038,MORENA,81122.0,1,False
039,MORENA,83020.0,1,False
040,MORENA,84379.0,1,False
