entidad,entidad_norm,distrito,coalicion,partido_origen,grupo_parlamentario,nominadores_list,nominadores_count,prd_in_partido_origen,prd_in_grupo_parlamentario,source_row_index
BAJA CALIFORNIA,BAJA CALIFORNIA,3,FUERZA Y CORAZON POR MEXICO,,PRD,PRD,1,False,True,4
BAJA CALIFORNIA,BAJA CALIFORNIA,4,FUERZA Y CORAZON POR MEXICO,,PRD,PRD,1,False,True,5
CHIAPAS,CHIAPAS,12,FUERZA Y CORAZON POR MEXICO,,PRD,PRD,1,False,True,26
HIDALGO,HIDALGO,3,FUERZA Y CORAZON POR MEXICO,,PRD,PRD,1,False,True,95
MEXICO,MEXICO,11,FUERZA Y CORAZON POR MEXICO,,PRD,PRD,1,False,True,130
MEXICO,MEXICO,29,FUERZA Y CORAZON POR MEXICO,,PRD,PRD,1,False,True,147
MEXICO,MEXICO,31,FUERZA Y CORAZON POR MEXICO,,PRD,PRD,1,False,True,149
MICHOACÁN,MICHOACAN,2,FUERZA Y CORAZON POR MEXICO,,PRD,PRD,1,False,True,159
TABASCO,TABASCO,1,FUERZA Y CORAZON POR MEXICO,,PRD,PRD,1,False,True,248
TABASCO,TABASCO,2,FUERZA Y CORAZON POR MEXICO,,PRD,PRD,1,False,True,249
TABASCO,TABASCO,3,FUERZA Y CORAZON POR MEXICO,,PRD,PRD,1,False,True,250
TABASCO,TABASCO,5,FUERZA Y CORAZON POR MEXICO,,PRD,PRD,1,False,True,252
