entidad,entidad_ascii,distrito,coalicion,grupo_parlamentario,_ENT_N,_DIST
BAJA CALIFORNIA,BAJA CALIFORNIA,3,FUERZA Y CORAZON POR MEXICO,PRD,BAJA CALIFORNIA,3
BAJA CALIFORNIA,BAJA CALIFORNIA,4,FUERZA Y CORAZON POR MEXICO,PRD,BAJA CALIFORNIA,4
CHIAPAS,CHIAPAS,12,FUERZA Y CORAZON POR MEXICO,PRD,CHIAPAS,12
HIDALGO,HIDALGO,3,FUERZA Y CORAZON POR MEXICO,PRD,HIDALGO,3
MEXICO,MEXICO,11,FUERZA Y CORAZON POR MEXICO,PRD,MEXICO,11
MEXICO,MEXICO,29,FUERZA Y CORAZON POR MEXICO,PRD,MEXICO,29
MEXICO,MEXICO,31,FUERZA Y CORAZON POR MEXICO,PRD,MEXICO,31
MICHOACÁN,MICHOACAN,2,FUERZA Y CORAZON POR MEXICO,PRD,MICHOACAN,2
TABASCO,TABASCO,1,FUERZA Y CORAZON POR MEXICO,PRD,TABASCO,1
TABASCO,TABASCO,2,FUERZA Y CORAZON POR MEXICO,PRD,TABASCO,2
TABASCO,TABASCO,3,FUERZA Y CORAZON POR MEXICO,PRD,TABASCO,3
TABASCO,TABASCO,5,FUERZA Y CORAZON POR MEXICO,PRD,TABASCO,5
